Species,Number,Combustibility 
,,mg DW s-1
Acacia melanoxylon,1,13.91874393
Acacia melanoxylon,2,17.35858502
Acacia melanoxylon,3,13.55051863
Acacia melanoxylon,4,12.1641134
Acacia melanoxylon,5,12.38594651
Bauhinia galpinii,1,16.05062022
Bauhinia galpinii,2,11.88578395
Bauhinia galpinii,3,15.47218028
Bauhinia galpinii,4,13.01138821
Bauhinia galpinii,5,16.92316221
Bolusafra bituminosa,1,16.10983456
Bolusafra bituminosa,2,18.76171631
Bolusafra bituminosa,3,11.55420466
Bolusafra bituminosa,4,10.52931825
Bolusafra bituminosa,5,10.86102979
Canthium inerme,1,11.29634059
Canthium inerme,2,11.43497758
Canthium inerme,3,14.88317757
Canthium inerme,4,10.71898734
Canthium inerme,5,9.846404785
Carissa bispinosa,1,16.94145178
Carissa bispinosa,2,13.39646772
Carissa bispinosa,3,15.91403637
Carissa bispinosa,4,14.27516014
Carissa bispinosa,5,14.68694611
Castanea sativa,1,109.4212755
Castanea sativa,2,41.95527256
Castanea sativa,3,47.23055556
Castanea sativa,4,59.52947689
Castanea sativa,5,115.5828542
Casuarina cunninghamiana,1,1.89038703
Casuarina cunninghamiana,2,2.728328623
Casuarina cunninghamiana,3,2.734718641
Casuarina cunninghamiana,4,2.970266428
Casuarina cunninghamiana,5,1.853642958
Cedrus atlantica,1,1.262452454
Cedrus atlantica,2,1.146999713
Cedrus atlantica,3,1.555494049
Cedrus atlantica,4,1.668344599
Cedrus atlantica,5,1.6810291
Celtis africana,1,8.056804556
Celtis africana,2,11.8896852
Celtis africana,3,9.724048523
Celtis africana,4,18.28056686
Celtis africana,5,12.48846202
Cotoneaster lacteus,1,10.38695595
Cotoneaster lacteus,2,10.45139718
Cotoneaster lacteus,3,13.49376703
Cotoneaster lacteus,4,12.46144397
Cotoneaster lacteus,5,11.69643524
Cupressus sempervirens,1,7.887114374
Cupressus sempervirens,2,7.767234161
Cupressus sempervirens,3,8.718585896
Cupressus sempervirens,4,6.009027136
Cupressus sempervirens,5,6.007779773
Cupressus sp.,1,5.019693901
Cupressus sp.,2,10.32788422
Cupressus sp.,3,9.776620834
Cupressus sp.,4,5.04433391
Cupressus sp.,5,8.481382452
Encephalartos sp.,1,19.94712761
Encephalartos sp.,2,20.55479061
Encephalartos sp.,3,21.32736185
Encephalartos sp.,4,23.7154283
Encephalartos sp.,5,31.59326308
Ficus microcarpa,1,8.823402418
Ficus microcarpa,2,9.297982981
Ficus microcarpa,3,9.485633203
Ficus microcarpa,4,10.10119422
Ficus microcarpa,5,9.449411765
Ficus natalensis,1,33.1604853
Ficus natalensis,2,31.5480107
Ficus natalensis,3,21.90552872
Ficus natalensis,4,30.17421603
Ficus natalensis,5,41.47671862
Grewia bicolor,1,19.85465116
Grewia bicolor,2,16.42326025
Grewia bicolor,3,15.75509522
Grewia bicolor,4,14.46909091
Grewia bicolor,5,22.02555834
Harpephyllum caffrum,1,14.17872754
Harpephyllum caffrum,2,13.74897926
Harpephyllum caffrum,3,14.96755524
Harpephyllum caffrum,4,15.84983368
Harpephyllum caffrum,5,9.986681583
Hedera canariensis,1,40.54218909
Hedera canariensis,2,66.67573321
Hedera canariensis,3,68.74904434
Hedera canariensis,4,64.97107438
Hedera canariensis,5,102.9551252
Indigofera cystioides,1,12.54649842
Indigofera cystioides,2,10.97241629
Indigofera cystioides,3,13.89630437
Indigofera cystioides,4,11.21807051
Indigofera cystioides,5,8.935647804
Kiggelaria africana,1,23.88868941
Kiggelaria africana,2,32.56412001
Kiggelaria africana,3,19.6005118
Kiggelaria africana,4,16.45745372
Kiggelaria africana,5,16.36117137
Leucadendron argentuem,1,25.58241048
Leucadendron argentuem,2,22.72192173
Leucadendron argentuem,3,19.06778567
Leucadendron argentuem,4,12.79302502
Leucadendron argentuem,5,17.4187806
Liquidambar styraciflua,1,63.80109094
Liquidambar styraciflua,2,59.10314789
Liquidambar styraciflua,3,54.07034765
Liquidambar styraciflua,4,67.41664724
Liquidambar styraciflua,5,54.8546021
Maytenus oleoides,1,9.735370231
Maytenus oleoides,2,6.779046035
Maytenus oleoides,3,8.853427896
Maytenus oleoides,4,5.405516674
Maytenus oleoides,5,5.51678487
Nerium oleander,1,21.3389695
Nerium oleander,2,16.33184279
Nerium oleander,3,15.0966407
Nerium oleander,4,16.3936662
Nerium oleander,5,27.66411278
Ochna serrulata,1,11.12747797
Ochna serrulata,2,9.440137812
Ochna serrulata,3,8.199457259
Ochna serrulata,4,9.455746367
Ochna serrulata,5,9.071637427
Olea capensis,1,16.38290464
Olea capensis,2,29.53700988
Olea capensis,3,20.57165818
Olea capensis,4,25.57780183
Olea capensis,5,27.56275025
Olea europaea subsp. cuspidata,1,8.686312001
Olea europaea subsp. cuspidata,2,5.891414724
Olea europaea subsp. cuspidata,3,5.609400861
Olea europaea subsp. cuspidata,4,5.008920901
Olea europaea subsp. cuspidata,5,6.031333427
Parthenocissus tricuspidata,1,58.49222112
