Species,Number,Leaf no.,Fresh leaves,,Dry leaves,,,,Species,Number,Combustibility 
,,,Ignibility (s),Sustainability (s),Ignibility (s),Sustainability (s),,,,,mg DW s-1
Acacia melanoxylon,1,1,2.56,33.34,0.6,11.43,,,Acacia melanoxylon,1,13.91874393
Acacia melanoxylon,,2,4.2,30.09,0.85,11.23,,,Acacia melanoxylon,2,17.35858502
Acacia melanoxylon,,3,5.69,29.09,0.87,12.16,,,Acacia melanoxylon,3,13.55051863
Acacia melanoxylon,,4,6.35,39.06,0.73,13.42,,,Acacia melanoxylon,4,12.1641134
Acacia melanoxylon,,5,4.31,29.68,0.72,11.7,,,Acacia melanoxylon,5,12.38594651
Acacia melanoxylon,,6,7.05,27.98,1.32,12.36,,,Bauhinia galpinii,1,16.05062022
Acacia melanoxylon,,7,3.68,21.56,1.06,9.91,,,Bauhinia galpinii,2,11.88578395
Acacia melanoxylon,,8,5.82,23.83,1,15.3,,,Bauhinia galpinii,3,15.47218028
Acacia melanoxylon,,9,5.06,34.07,0.98,12.22,,,Bauhinia galpinii,4,13.01138821
Acacia melanoxylon,,10,5.56,33.45,0.86,13.83,,,Bauhinia galpinii,5,16.92316221
Acacia melanoxylon,2,1,5.97,23.44,1.52,11.92,,,Bolusafra bituminosa,1,16.10983456
Acacia melanoxylon,,2,4.92,31.5,0.99,13.9,,,Bolusafra bituminosa,2,18.76171631
Acacia melanoxylon,,3,5.96,31.85,1.05,11.9,,,Bolusafra bituminosa,3,11.55420466
Acacia melanoxylon,,4,5.38,36.65,1.06,12.63,,,Bolusafra bituminosa,4,10.52931825
Acacia melanoxylon,,5,4.28,28.34,0.93,14.58,,,Bolusafra bituminosa,5,10.86102979
Acacia melanoxylon,,6,4.37,33.71,1.46,14.24,,,Canthium inerme,1,11.29634059
Acacia melanoxylon,,7,8.01,25.97,1.71,11.77,,,Canthium inerme,2,11.43497758
Acacia melanoxylon,,8,4.18,24.18,1.39,9.66,,,Canthium inerme,3,14.88317757
Acacia melanoxylon,,9,5.5,31.96,1.06,10.31,,,Canthium inerme,4,10.71898734
Acacia melanoxylon,,10,5.42,26.16,1.25,8.95,,,Canthium inerme,5,9.846404785
Acacia melanoxylon,3,1,4.52,21.95,1.3,12.21,,,Carissa bispinosa,1,16.94145178
Acacia melanoxylon,,2,5.19,27.35,1.39,13.89,,,Carissa bispinosa,2,13.39646772
Acacia melanoxylon,,3,4.07,25.31,1.39,12.99,,,Carissa bispinosa,3,15.91403637
Acacia melanoxylon,,4,3.09,30.52,1.58,10.67,,,Carissa bispinosa,4,14.27516014
Acacia melanoxylon,,5,4.07,30.24,1.57,11.45,,,Carissa bispinosa,5,14.68694611
Acacia melanoxylon,,6,5.9,15.71,1.4,13.26,,,Castanea sativa,1,109.4212755
Acacia melanoxylon,,7,4.14,26.8,1.5,12.02,,,Castanea sativa,2,41.95527256
Acacia melanoxylon,,8,4.52,23.88,1.52,12.22,,,Castanea sativa,3,47.23055556
Acacia melanoxylon,,9,4.3,21.29,1.27,17.4,,,Castanea sativa,4,59.52947689
Acacia melanoxylon,,10,5.18,27.87,1,14.04,,,Castanea sativa,5,115.5828542
Acacia melanoxylon,4,1,4.59,34.87,1.39,10.05,,,Casuarina cunninghamiana,1,1.89038703
Acacia melanoxylon,,2,5.37,21.89,1.46,14.63,,,Casuarina cunninghamiana,2,2.728328623
Acacia melanoxylon,,3,3.92,19.66,0.93,10.41,,,Casuarina cunninghamiana,3,2.734718641
Acacia melanoxylon,,4,4.66,24.51,1.31,11.67,,,Casuarina cunninghamiana,4,2.970266428
Acacia melanoxylon,,5,4.33,16.08,1.38,11.38,,,Casuarina cunninghamiana,5,1.853642958
Acacia melanoxylon,,6,3.61,30.52,0.93,11.02,,,Cedrus atlantica,1,1.262452454
Acacia melanoxylon,,7,3.5,16.23,0.92,9.54,,,Cedrus atlantica,2,1.146999713
Acacia melanoxylon,,8,3.62,20.93,1.23,13.94,,,Cedrus atlantica,3,1.555494049
Acacia melanoxylon,,9,4.33,21.46,1.18,11.4,,,Cedrus atlantica,4,1.668344599
Acacia melanoxylon,,10,3.74,21.44,0.8,9.54,,,Cedrus atlantica,5,1.6810291
Acacia melanoxylon,5,1,4.06,23.62,1.26,14.54,,,Celtis africana,1,8.056804556
Acacia melanoxylon,,2,4.73,31.95,2.12,14.66,,,Celtis africana,2,11.8896852
Acacia melanoxylon,,3,5.19,27.66,1.03,12.77,,,Celtis africana,3,9.724048523
Acacia melanoxylon,,4,4.4,28.22,1.18,14.33,,,Celtis africana,4,18.28056686
Acacia melanoxylon,,5,3.48,29.24,1,10.73,,,Celtis africana,5,12.48846202
Acacia melanoxylon,,6,4.39,23.23,1.32,11.61,,,Cotoneaster lacteus,1,10.38695595
Acacia melanoxylon,,7,5.25,18.53,1.33,15.99,,,Cotoneaster lacteus,2,10.45139718
Acacia melanoxylon,,8,3.67,26.31,1.32,10.67,,,Cotoneaster lacteus,3,13.49376703
Acacia melanoxylon,,9,3.09,21.2,1.25,13.31,,,Cotoneaster lacteus,4,12.46144397
Acacia melanoxylon,,10,4.72,23.07,1.44,14.88,,,Cotoneaster lacteus,5,11.69643524
Bauhinia galpinii,1,1,3.23,13.92,0.8,4.82,,,Cupressus sempervirens,1,7.887114374
Bauhinia galpinii,,2,3.43,10.57,0.53,9.52,,,Cupressus sempervirens,2,7.767234161
Bauhinia galpinii,,3,3.74,9.56,0.66,10.7,,,Cupressus sempervirens,3,8.718585896
Bauhinia galpinii,,4,2.22,8.6,0.8,8.92,,,Cupressus sempervirens,4,6.009027136
Bauhinia galpinii,,5,2.56,11.58,0.73,11.2,,,Cupressus sempervirens,5,6.007779773
Bauhinia galpinii,,6,1.84,10.87,0.66,6.63,,,Cupressus sp.,1,5.019693901
Bauhinia galpinii,,7,3.09,13.09,0.87,6.73,,,Cupressus sp.,2,10.32788422
Bauhinia galpinii,,8,2.33,9.56,0.59,6.51,,,Cupressus sp.,3,9.776620834
Bauhinia galpinii,,9,3.29,12.71,0.93,6.1,,,Cupressus sp.,4,5.04433391
Bauhinia galpinii,,10,2.75,9.96,0.94,8.68,,,Cupressus sp.,5,8.481382452
Bauhinia galpinii,2,1,2.96,11.86,0.86,11.05,,,Encephalartos sp.,1,19.94712761
Bauhinia galpinii,,2,1.89,11.42,0.8,9.58,,,Encephalartos sp.,2,20.55479061
Bauhinia galpinii,,3,2.3,12.32,0.67,12.49,,,Encephalartos sp.,3,21.32736185
Bauhinia galpinii,,4,2.16,11.01,0.73,8.96,,,Encephalartos sp.,4,23.7154283
Bauhinia galpinii,,5,3.02,15.05,1,10.51,,,Encephalartos sp.,5,31.59326308
Bauhinia galpinii,,6,2.17,13.44,0.6,9.04,,,Ficus microcarpa,1,8.823402418
Bauhinia galpinii,,7,2.43,13.85,0.67,8.35,,,Ficus microcarpa,2,9.297982981
Bauhinia galpinii,,8,2.44,11.29,0.73,12.8,,,Ficus microcarpa,3,9.485633203
Bauhinia galpinii,,9,3.09,11.53,0.87,14.25,,,Ficus microcarpa,4,10.10119422
Bauhinia galpinii,,10,2.18,12.08,1.13,9.61,,,Ficus microcarpa,5,9.449411765
Bauhinia galpinii,3,1,3.48,16.41,0.99,6.59,,,Ficus natalensis,1,33.1604853
Bauhinia galpinii,,2,2.28,12.27,1.08,8.95,,,Ficus natalensis,2,31.5480107
Bauhinia galpinii,,3,2.37,14.82,0.87,9.24,,,Ficus natalensis,3,21.90552872
Bauhinia galpinii,,4,2.17,14.27,0.74,7.07,,,Ficus natalensis,4,30.17421603
Bauhinia galpinii,,5,2.5,21.85,0.81,8.84,,,Ficus natalensis,5,41.47671862
Bauhinia galpinii,,6,2.03,15.77,0.87,8.05,,,Grewia bicolor,1,19.85465116
Bauhinia galpinii,,7,3.08,15.52,0.73,6.7,,,Grewia bicolor,2,16.42326025
Bauhinia galpinii,,8,1.68,13.28,1,7.08,,,Grewia bicolor,3,15.75509522
Bauhinia galpinii,,9,2.57,18.23,0.67,12.27,,,Grewia bicolor,4,14.46909091
Bauhinia galpinii,,10,2.79,15.35,0.87,11.3,,,Grewia bicolor,5,22.02555834
Bauhinia galpinii,4,1,3.21,16.34,1.26,6.94,,,Harpephyllum caffrum,1,14.17872754
Bauhinia galpinii,,2,2.3,13.06,0.86,7.22,,,Harpephyllum caffrum,2,13.74897926
Bauhinia galpinii,,3,2.12,18.57,0.87,7.94,,,Harpephyllum caffrum,3,14.96755524
Bauhinia galpinii,,4,2.3,13.8,1.23,6.35,,,Harpephyllum caffrum,4,15.84983368
Bauhinia galpinii,,5,2.57,17.61,1.12,11.31,,,Harpephyllum caffrum,5,9.986681583
Bauhinia galpinii,,6,2.89,11.81,0.86,5.92,,,Hedera canariensis,1,40.54218909
Bauhinia galpinii,,7,2.22,20.78,0.61,4.59,,,Hedera canariensis,2,66.67573321
Bauhinia galpinii,,8,2.41,15.18,0.81,5.72,,,Hedera canariensis,3,68.74904434
Bauhinia galpinii,,9,2.89,19.99,0.98,5.47,,,Hedera canariensis,4,64.97107438
Bauhinia galpinii,,10,3.08,16.2,0.73,7.91,,,Hedera canariensis,5,102.9551252
Bauhinia galpinii,5,1,1.97,16.52,0.66,7.73,,,Indigofera cystioides,1,12.54649842
Bauhinia galpinii,,2,2.48,12.75,0.81,9.21,,,Indigofera cystioides,2,10.97241629
Bauhinia galpinii,,3,2.36,13.44,0.79,10.57,,,Indigofera cystioides,3,13.89630437
Bauhinia galpinii,,4,2.09,11.67,0.73,8.81,,,Indigofera cystioides,4,11.21807051
Bauhinia galpinii,,5,2.62,15.46,1.22,8.12,,,Indigofera cystioides,5,8.935647804
Bauhinia galpinii,,6,2.78,12.29,1.21,6.02,,,Kiggelaria africana,1,23.88868941
Bauhinia galpinii,,7,2.63,14.72,0.86,9.25,,,Kiggelaria africana,2,32.56412001
Bauhinia galpinii,,8,2.68,12.84,1.38,10.76,,,Kiggelaria africana,3,19.6005118
Bauhinia galpinii,,9,2.95,14.68,1.31,11.96,,,Kiggelaria africana,4,16.45745372
Bauhinia galpinii,,10,1.91,12.14,0.94,7.76,,,Kiggelaria africana,5,16.36117137
Bolusafra bituminosa,1,1,4.42,33.87,0.4,7.21,,,Leucadendron argentuem,1,25.58241048
Bolusafra bituminosa,,2,8.29,47.44,0.2,7.9,,,Leucadendron argentuem,2,22.72192173
