Species,Number,Av. leaf length,Av. leaf width,Av. leaf thickness,Leaf surface area per leaf,Leaf fresh weight,Leaf dry weight,Specific leaf area,Leaf water content,,,
,,cm,cm,mm,cm2,g,g,m2 g DW-1,%,,,
Acacia melanoxylon,1,6.63,1.10,0.349,11.605,0.39612,0.17198,0.00675,56.6,,,
Acacia melanoxylon,2,11.87,1.83,0.370,14.402,0.48709,0.20806,0.00692,57.3,,,
Acacia melanoxylon,3,8.72,2.01,0.325,11.564,0.40861,0.17636,0.00656,56.8,,,
Acacia melanoxylon,4,8.22,1.63,0.303,8.965,0.31044,0.13816,0.00649,55.5,,,
Acacia melanoxylon,5,9.09,1.95,0.313,11.489,0.37837,0.16534,0.00695,56.3,,,
Canthium inerme,1,5.58,2.82,0.135,10.627,0.17811,0.04723,0.02250,73.5,,,
Canthium inerme,2,6.27,3.35,0.150,14.016,0.25068,0.06375,0.02199,74.6,,,
Canthium inerme,3,7.03,3.64,0.174,17.672,0.34243,0.10829,0.01632,68.4,,,
Canthium inerme,4,6.83,3.06,0.171,12.592,0.28746,0.08468,0.01487,70.5,,,
Canthium inerme,5,6.01,3.40,0.146,13.340,0.23849,0.07244,0.01842,69.6,,,
Bauhinia galpinii,1,4.17,6.04,0.272,21.248,0.30194,0.12810,0.01659,57.6,,,
Bauhinia galpinii,2,4.65,5.77,0.249,21.521,0.30739,0.12675,0.01698,58.8,,,
Bauhinia galpinii,3,4.29,5.90,0.243,20.900,0.32598,0.13320,0.01569,59.1,,,
Bauhinia galpinii,4,3.86,5.24,0.249,16.665,0.22765,0.09026,0.01846,60.4,,,
Bauhinia galpinii,5,4.05,5.99,0.279,20.756,0.35953,0.15263,0.01360,57.5,,,
Bolusafra bituminosa,1,8.00,7.12,0.134,21.238,1.57175,0.14022,0.01515,91.1,,,
Bolusafra bituminosa,2,6.92,6.72,0.163,22.690,1.92863,0.18015,0.01260,90.7,,,
Bolusafra bituminosa,3,5.47,5.98,0.207,13.040,1.36718,0.11404,0.01143,91.7,,,
Bolusafra bituminosa,4,5.27,6.40,0.168,13.609,1.38241,0.11259,0.01209,91.9,,,
Bolusafra bituminosa,5,5.60,6.39,0.170,12.528,1.42530,0.12614,0.00993,91.1,,,
Carissa bispinosa,1,5.68,4.08,0.439,17.172,0.73769,0.38369,0.00448,48.0,,,
Carissa bispinosa,2,5.39,3.14,0.360,12.300,0.46942,0.21997,0.00559,53.1,,,
Carissa bispinosa,3,6.93,4.09,0.424,19.900,0.85355,0.41394,0.00481,51.5,,,
